time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-12-14T00:00:00.000Z","LatLng(34.75, 136.7)","17.03","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-21T00:00:00.000Z","LatLng(34.75, 136.7)","-0.32","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-12-28T00:00:00.000Z","LatLng(34.75, 136.7)","-12.07","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-04T00:00:00.000Z","LatLng(34.75, 136.7)","-44.31","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-11T00:00:00.000Z","LatLng(34.75, 136.7)","-45.27","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-01-18T00:00:00.000Z","LatLng(34.75, 136.7)","-61.45","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-01T00:00:00.000Z","LatLng(34.75, 136.7)","14.3","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-08T00:00:00.000Z","LatLng(34.75, 136.7)","68.68","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-15T00:00:00.000Z","LatLng(34.75, 136.7)","68.13","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-22T00:00:00.000Z","LatLng(34.75, 136.7)","-59.65","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-02-29T00:00:00.000Z","LatLng(34.75, 136.7)","-59.77","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-07T00:00:00.000Z","LatLng(34.75, 136.7)","-29.2","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-14T00:00:00.000Z","LatLng(34.75, 136.7)","-30.77","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
