img,date,mean_tiff_val
wq_images/wq_map2019-11-01.tiff,2019-11-01,151.63606444444446
wq_images/wq_map2019-11-02.tiff,2019-11-02,146.85028444444444
wq_images/wq_map2019-11-03.tiff,2019-11-03,141.68354666666667
wq_images/wq_map2019-11-04.tiff,2019-11-04,150.75334311111112
wq_images/wq_map2019-11-05.tiff,2019-11-05,150.04110933333334
wq_images/wq_map2019-11-06.tiff,2019-11-06,148.76733333333334
wq_images/wq_map2019-11-07.tiff,2019-11-07,150.4901591111111
wq_images/wq_map2019-11-08.tiff,2019-11-08,149.86787733333333
wq_images/wq_map2019-11-09.tiff,2019-11-09,150.860864
wq_images/wq_map2019-11-10.tiff,2019-11-10,146.65354622222222
wq_images/wq_map2019-11-11.tiff,2019-11-11,148.33171377777776
wq_images/wq_map2019-11-12.tiff,2019-11-12,150.889848
wq_images/wq_map2019-11-13.tiff,2019-11-13,149.13928
wq_images/wq_map2019-11-14.tiff,2019-11-14,151.47309733333333
wq_images/wq_map2019-11-15.tiff,2019-11-15,151.8864568888889
wq_images/wq_map2019-11-16.tiff,2019-11-16,152.0273191111111
wq_images/wq_map2019-11-17.tiff,2019-11-17,149.45206222222222
wq_images/wq_map2019-11-18.tiff,2019-11-18,151.01950177777778
wq_images/wq_map2019-11-19.tiff,2019-11-19,150.770156
wq_images/wq_map2019-11-20.tiff,2019-11-20,148.92256355555554
wq_images/wq_map2019-11-21.tiff,2019-11-21,148.77819466666668
wq_images/wq_map2019-11-22.tiff,2019-11-22,141.93135777777778
wq_images/wq_map2019-11-23.tiff,2019-11-23,149.20106666666666
wq_images/wq_map2019-11-24.tiff,2019-11-24,139.08917244444444
wq_images/wq_map2019-11-25.tiff,2019-11-25,147.6381568888889
wq_images/wq_map2019-11-26.tiff,2019-11-26,156.02569155555557
wq_images/wq_map2019-11-27.tiff,2019-11-27,136.5994071111111
wq_images/wq_map2019-11-28.tiff,2019-11-28,174.36177644444444
wq_images/wq_map2019-11-29.tiff,2019-11-29,149.25243866666668
wq_images/wq_map2019-11-30.tiff,2019-11-30,151.66110755555556
wq_images/wq_map2019-12-01.tiff,2019-12-01,149.13935288888888
wq_images/wq_map2019-12-02.tiff,2019-12-02,154.13022577777778
wq_images/wq_map2019-12-03.tiff,2019-12-03,150.77117955555556
wq_images/wq_map2019-12-04.tiff,2019-12-04,150.48849555555555
wq_images/wq_map2019-12-05.tiff,2019-12-05,140.7340088888889
wq_images/wq_map2019-12-06.tiff,2019-12-06,149.06849911111112
wq_images/wq_map2019-12-07.tiff,2019-12-07,151.503212
wq_images/wq_map2019-12-08.tiff,2019-12-08,147.8960911111111
wq_images/wq_map2019-12-09.tiff,2019-12-09,145.87354844444445
wq_images/wq_map2019-12-10.tiff,2019-12-10,151.25252044444446
wq_images/wq_map2019-12-11.tiff,2019-12-11,141.87706444444444
wq_images/wq_map2019-12-12.tiff,2019-12-12,148.0700008888889
wq_images/wq_map2019-12-13.tiff,2019-12-13,147.7458702222222
wq_images/wq_map2019-12-14.tiff,2019-12-14,150.63798622222222
wq_images/wq_map2019-12-15.tiff,2019-12-15,144.576684
wq_images/wq_map2019-12-16.tiff,2019-12-16,139.24599022222222
wq_images/wq_map2019-12-17.tiff,2019-12-17,138.73285244444443
wq_images/wq_map2019-12-18.tiff,2019-12-18,153.37868133333333
wq_images/wq_map2019-12-19.tiff,2019-12-19,151.03265244444444
wq_images/wq_map2019-12-20.tiff,2019-12-20,149.80951066666665
wq_images/wq_map2019-12-21.tiff,2019-12-21,145.0220177777778
wq_images/wq_map2019-12-22.tiff,2019-12-22,135.86274533333332
wq_images/wq_map2019-12-23.tiff,2019-12-23,151.91319066666668
wq_images/wq_map2019-12-24.tiff,2019-12-24,142.70020222222223
wq_images/wq_map2019-12-25.tiff,2019-12-25,150.755936
wq_images/wq_map2019-12-26.tiff,2019-12-26,143.17683155555557
wq_images/wq_map2019-12-27.tiff,2019-12-27,150.29824933333333
wq_images/wq_map2019-12-28.tiff,2019-12-28,151.18356666666668
wq_images/wq_map2019-12-29.tiff,2019-12-29,149.80323066666668
wq_images/wq_map2019-12-30.tiff,2019-12-30,151.77557066666665
wq_images/wq_map2019-12-31.tiff,2019-12-31,150.4901742222222
wq_images/wq_map2020-01-01.tiff,2020-01-01,150.96156355555556
wq_images/wq_map2020-01-02.tiff,2020-01-02,147.02556711111112
